"@timestamp",service,message,level,logger,traceId
"Aug 8, 2026 @ 22:43:19.010",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:19 +0000] ""POST /api/notifications/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:19.008","bff-service","method=POST uri=/api/notifications/list status=200 durationMs=115",INFO,"bff.config.AccessLogFilter","6cefdd7a-b78f-4037-be98-efa05ee86fdb"
"Aug 8, 2026 @ 22:43:18.999","bff-service","[CB] listMyNotifications fallback: {} I/O error on POST request for ""http://notification-service/api/notifications/list"": null",WARN,"bff.client.NotificationClient","6cefdd7a-b78f-4037-be98-efa05ee86fdb"
"Aug 8, 2026 @ 22:43:16.992",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:16 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:16.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:16 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:13.726","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=13",INFO,"bff.config.AccessLogFilter","47940891-6f13-4f46-9097-b4c877d97c45"
"Aug 8, 2026 @ 22:43:13.549","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=15",INFO,"bff.config.AccessLogFilter","00b141a2-45a3-4b89-b705-372a615bcfbc"
"Aug 8, 2026 @ 22:43:12.410","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=150",INFO,"bff.config.AccessLogFilter","6ce3b597-6f4b-4153-b695-60fffa8cc6e2"
"Aug 8, 2026 @ 22:43:06.990",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:06 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:06.460",unknown,"10.244.0.1 - - [08/Aug/2026:13:43:06 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:43:03.720","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=10",INFO,"bff.config.AccessLogFilter","5937af4d-77ff-4f6a-b8cc-cc0e801b2a6c"
